Job_ID,Job_Title,Company,Industry,Location,Experience_Years,Salary_INR,Employment_Type,Company_Size,Education_Required,Hiring_Urgency,Open_Positions,Applicant_Count,Skills,Posted_Date
AIJ100000,AI Engineer,CloudMind,Finance,Kolkata,8,1403455,Remote,Mid-size,PhD,High,11,184,"AWS, NLP, Power BI, Python, Statistics",2025-06-30
AIJ100001,LLM Engineer,NextGen AI,EdTech,Bangalore,0,4159746,Remote,Enterprise,Master's,Low,1,171,"NLP, Python, SQL, Statistics, TensorFlow",2025-07-12
AIJ100002,Machine Learning Engineer,AIWorks,Healthcare,Delhi,13,4500723,Hybrid,Mid-size,Bachelor's,Medium,11,277,"LLMs, Machine Learning, PyTorch, Tableau, TensorFlow",2025-11-06
AIJ100003,Prompt Engineer,NextGen AI,Healthcare,Kolkata,13,4578008,Onsite,Enterprise,Master's,Medium,17,26,"Deep Learning, LLMs, Power BI, SQL, Statistics",2025-07-20
AIJ100004,AI Researcher,CloudMind,Retail,Chennai,10,3781567,Remote,Enterprise,Master's,Medium,19,408,"AWS, Machine Learning, Python, SQL, Tableau",2026-05-05
AIJ100005,Computer Vision Engineer,TechNova,Cybersecurity,Hyderabad,12,4962718,Onsite,Enterprise,Bachelor's,High,10,263,"Deep Learning, LLMs, NLP, PyTorch, Tableau",2025-06-24
AIJ100006,AI Researcher,AIWorks,Retail,Noida,14,3675844,Hybrid,Startup,Bachelor's,Low,15,108,"AWS, Deep Learning, Excel, LLMs, Python",2025-12-23
AIJ100007,MLOps Engineer,Insight Labs,Healthcare,Pune,2,4780876,Hybrid,Enterprise,Bachelor's,Low,14,469,"Azure, LLMs, PyTorch, Python, SQL",2025-10-10
AIJ100008,LLM Engineer,Insight Labs,Healthcare,Chennai,8,4463707,Remote,Enterprise,Master's,Medium,12,22,"Azure, Deep Learning, Power BI, SQL, Statistics",2026-04-18
AIJ100009,Machine Learning Engineer,NextGen AI,EdTech,Pune,1,4851138,Hybrid,Enterprise,Master's,Low,10,407,"AWS, Azure, Power BI, PyTorch, Statistics",2025-08-08
AIJ100010,Computer Vision Engineer,DataSphere,Retail,Remote,12,4125407,Remote,Enterprise,Bachelor's,Medium,1,188,"Deep Learning, LLMs, NLP, Statistics, TensorFlow",2025-10-12
AIJ100011,NLP Engineer,Insight Labs,Healthcare,Bangalore,10,4835589,Onsite,Enterprise,Bachelor's,Medium,17,63,"AWS, Machine Learning, NLP, PyTorch, Tableau",2025-10-10
AIJ100012,Computer Vision Engineer,DataSphere,SaaS,Noida,7,2205169,Hybrid,Mid-size,Master's,Low,17,51,"NLP, PyTorch, Python, Statistics, Tableau",2025-09-08
AIJ100013,NLP Engineer,InnoTech,Finance,Remote,10,1202469,Hybrid,Enterprise,PhD,Low,18,79,"Azure, LLMs, Python, Statistics, TensorFlow",2025-06-11
AIJ100014,NLP Engineer,QuantEdge,Cybersecurity,Kolkata,7,4704853,Remote,Enterprise,PhD,Low,20,321,"AWS, Machine Learning, NLP, SQL, TensorFlow",2025-11-17
AIJ100015,AI Engineer,NextGen AI,Logistics,Chennai,13,3146661,Hybrid,Startup,Master's,Medium,7,430,"Azure, Deep Learning, LLMs, Power BI, Python",2025-07-12
AIJ100016,LLM Engineer,CloudMind,Retail,Noida,12,3591346,Remote,Mid-size,Bachelor's,Medium,17,429,"AWS, Azure, Machine Learning, NLP, Python",2026-01-15
AIJ100017,Prompt Engineer,Insight Labs,SaaS,Pune,14,3223740,Remote,Enterprise,Master's,Medium,15,298,"AWS, Machine Learning, PyTorch, Tableau, TensorFlow",2025-07-06
AIJ100018,Prompt Engineer,CloudMind,Cybersecurity,Mumbai,5,1534645,Remote,Mid-size,PhD,Medium,5,254,"Power BI, PyTorch, Python, Statistics, TensorFlow",2025-10-04
AIJ100019,Computer Vision Engineer,NextGen AI,EdTech,Remote,1,4387333,Onsite,Enterprise,Master's,High,19,471,"AWS, Azure, NLP, Python, Tableau",2025-11-21
